classifier_type,class_name,score,health_score,quality_grade,date_time,location,image_path,scientific_name,family,discovered,year,description,host_plant,daily_consumption_g_day
Butterfly Species,Butterfly-Gray Glassy Tiger,99.9097228050232,100.0,A+,2025-06-29 11:28:08,"Imus, Calabarzon, Philippines",Butterfly_GrayGlassyTiger_449615612_487495107284779_339794702630671017_n.jpg,Ideopsis juventa,Nymphalidae,Cramer,1777,,Parsonsia,130
Butterfly Species,Butterfly-Gray Glassy Tiger,97.96796441078186,100.0,A+,2025-06-29 13:16:10,"Imus, Calabarzon, Philippines",./uploaded_images\species\461343660_8779967628681490_713706355210715779_n.jpg,Ideopsis juventa,Nymphalidae,Cramer,1777,,Parsonsia,130
Butterfly Species,Butterfly-Common Lime,99.9998927116394,100.0,A+,2025-06-29 13:17:15,"Imus, Calabarzon, Philippines",./uploaded_images\species\Common Lime28.jpg,Papilio demoleus,Papilionidae,Linnaeus,1758,"The butterfly is tailless and has a wingspan 80–100 mm,the butterfly has a large number of irregular spots on the wing.","Limeberry, Calamondin, Pomelo, Sweet Orange, Calamansi",140
Butterfly Species,Butterfly-Golden Birdwing,98.126882314682,100.0,A+,2025-06-29 13:29:32,"Imus, Calabarzon, Philippines",./uploaded_images\species\461234267_8724557570889163_1819988569440230639_n.jpg,Troides rhadamantus,Papilionidae,H. Lucas,1835,,"Dutchman pipe, Indian Birthwort",200
Butterfly Species,Butterfly-Golden Birdwing,42.40201115608215,100.0,A+,2025-06-29 14:47:43,"Imus, Calabarzon, Philippines",./uploaded_images\species\461226522_8750924088252511_2168976427331485166_n.jpg,Troides rhadamantus,Papilionidae,H. Lucas,1835,,"Dutchman pipe, Indian Birthwort",200
Butterfly Species,Butterfly-Gray Glassy Tiger,99.92792010307312,100.0,A+,2025-06-29 16:31:51,"Imus, Calabarzon, Philippines",./uploaded_images\species\508399612_24258618130389856_6435943305073082259_n.jpg,Ideopsis juventa,Nymphalidae,Cramer,1777,,Parsonsia,130
Butterfly Species,Butterfly-Tailed Jay,79.48017120361328,100.0,A+,2025-06-29 16:33:21,"Imus, Calabarzon, Philippines",./uploaded_images\species\Common Mime - Nelson Ong.jpg,Graphium agamemnon,Papilionidae,Linnaeus,1758,,"Avocado Tree, Soursop, Sugar Apple, Amuyon, Indian Tree",140
Butterfly Species,Butterfly-Common Mime,97.9512631893158,100.0,A+,2025-06-29 16:33:43,"Imus, Calabarzon, Philippines",./uploaded_images\species\Common Mime 1.jpeg,Papilio clytia,Papilionidae,Linnaeus,1758," It's a black-bodied swallowtail and a good example of Batesian mimicry, meaning it mimics the appearance of other distasteful butterflies. ","Clover Cinnamon, Wild Cinnamon",150
Butterfly Species,Butterfly-Common Mime,98.24984073638916,100.0,A+,2025-06-29 16:33:50,"Imus, Calabarzon, Philippines",./uploaded_images\species\05f95e89-bbc8-401e-98aa-b683942d7655.jpg,Papilio clytia,Papilionidae,Linnaeus,1758," It's a black-bodied swallowtail and a good example of Batesian mimicry, meaning it mimics the appearance of other distasteful butterflies. ","Clover Cinnamon, Wild Cinnamon",150
Butterfly Species,Butterfly-Golden Birdwing,99.06834363937378,100.0,A+,2025-06-29 17:57:40,"Imus, Calabarzon, Philippines",./uploaded_images\species\461262056_8724557934222460_7659749305127760408_n.jpg,Troides rhadamantus,Papilionidae,H. Lucas,1835,,"Dutchman pipe, Indian Birthwort",200
Butterfly Species,Butterfly-Red Lacewing,99.99969005584717,100.0,A+,2025-07-01 09:14:27,"Imus, Calabarzon, Philippines",./uploaded_images\species\IMG_20250419_173324.jpg,Cethosia biblis,Nymphalidae,Drury,1773,,Wild Bush Passion Fruits,170
Butterfly Species,Butterfly-Common Lime,99.99991655349731,100.0,A+,2025-09-10 10:43:18,"Imus, Calabarzon, Philippines",Common Lime6.jpg,Papilio demoleus,Papilionidae,Linnaeus,1758,"The butterfly is tailless and has a wingspan 80–100 mm,the butterfly has a large number of irregular spots on the wing.","Limeberry, Calamondin, Pomelo, Sweet Orange, Calamansi",140
