timestamp,predicted_stage,score
2025-10-14 16:04:05,day 10-fifth instar,85.86
2025-10-14 16:04:36,day 06-third instar,99.97
2025-10-14 16:05:17,day 01,99.94
2025-10-14 16:05:33,day 02-first instar,98.83
2025-10-16 15:12:00,day 08-fourth instar,100.00
2025-10-19 11:14:11,day 06-third instar,99.97
2025-10-19 14:02:14,day 08-fourth instar,87.99
2025-10-19 14:02:59,day 04-second instar,98.95
2025-10-20 09:15:55,day 14,98.80
2025-10-23 14:51:49,day 06-third instar,97.06
2025-10-23 14:54:08,day 08-fourth instar,97.55
2025-10-23 14:55:14,day 05,99.70
2025-10-23 15:04:45,day 05,99.39
2025-10-23 15:05:55,day 07,87.11
2025-10-23 15:09:00,day 07,91.35
2025-10-23 15:13:27,day 07,91.35
2025-10-23 15:14:52,day 08-fourth instar,75.53
2025-10-23 15:15:40,day 09,60.65
2025-10-23 15:16:05,day 09,60.65
2025-10-23 15:23:41,day 11,38.18
2025-10-23 15:32:59,day 09,100.00
2025-10-28 11:37:12,day 04-second instar,99.40
2025-10-28 11:42:41,day 04-second instar,99.99
2025-10-28 11:45:30,day 13,66.56
2025-10-28 11:49:20,day 13,66.56
2025-10-28 11:50:18,day 09,99.63
2025-10-28 15:17:00,day 02-first instar,98.69
2025-10-28 15:23:19,day 06-third instar,99.55
2025-10-29 16:40:29,day 06-Larvae Common Lime third instar,98.82
2025-10-29 16:49:20,day 03-Larvae Common Lime,99.49
2025-10-29 16:56:10,day 03-Larvae Common Lime,88.29
2025-10-29 16:58:46,day 03-Larvae Common Lime,99.82
2025-10-29 17:01:44,day 12-Larvae Common Lime,99.87
2025-10-31 20:29:52,day 06-Larvae Common Lime third instar,98.82
2025-10-31 20:41:37,day 06-Larvae Common Lime third instar,98.82
2025-10-31 20:43:23,day 08-Larvae Common Lime fourth instar,92.52
2025-10-31 20:44:51,day 08-Larvae Common Lime fourth instar,99.92
2025-10-31 20:50:49,day 08-Larvae Common Lime fourth instar,99.94
2025-10-31 21:17:25,day 08-Larvae Common Lime fourth instar,100.00
2025-11-03 14:54:56,day 08-Larvae Common Lime fourth instar,83.33
